sido	gu	name	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022
서울	양천구	서울남명초등학교	24	24	22	20	19	19	19	18	18	18	18	15	14	22	25	633	601	550	497	438	395	383	361	344	291	272	236	202	398	489
서울	양천구	서울목동초등학교	56	56	54	52	50	48	48	48	49	50	50	51	51	51	51	2227	1643	1583	1475	1335	1209	1236	1234	1310	1320	1349	1378	1390	1406	1411
서울	양천구	서울목운초등학교	0	37	40	43	47	49	49	49	49	49	49	50	50	50	51	0	1259	1560	1598	1594	1585	1587	1575	1610	1635	1652	1699	1704	1691	1648
서울	양천구	서울목원초등학교	24	23	21	22	23	23	22	22	22	22	24	24	24	24	22	656	591	532	548	530	471	460	489	517	539	562	543	541	506	474
서울	양천구	서울서정초등학교	51	48	44	40	37	36	34	34	32	32	32	32	31	31	35	1969	1392	1257	1114	1020	891	858	854	783	774	766	766	782	810	847
서울	양천구	서울신강초등학교	36	34	34	34	34	35	33	32	30	30	29	27	25	24	24	1058	968	904	852	807	763	727	697	633	597	569	537	482	462	449
서울	양천구	서울신기초등학교	41	37	36	33	33	32	31	29	28	27	26	24	23	22	22	1141	1039	938	856	803	765	729	685	612	596	580	541	511	464	442
서울	양천구	서울신남초등학교	31	28	27	23	20	16	16	18	18	18	18	18	29	31	36	832	714	646	478	373	337	342	374	363	287	295	276	439	743	871
서울	양천구	서울신목초등학교	47	47	47	45	43	43	39	39	40	40	40	40	40	40	40	1554	1423	1329	1224	1105	999	948	972	964	954	988	1029	1069	1042	1047
서울	양천구	서울신서초등학교	48	48	48	48	48	47	46	45	43	44	44	43	44	44	44	1731	1618	1596	1491	1359	1266	1184	1155	1112	1115	1135	1149	1181	1198	1143
서울	양천구	서울신원초등학교	33	29	28	28	26	26	25	24	24	24	24	24	24	24	24	841	753	689	627	595	553	533	524	498	471	464	480	462	439	419
서울	양천구	서울신은초등학교	0	0	0	0	32	34	36	39	39	45	45	45	45	42	40	0	0	0	0	778	888	920	1004	1083	1152	1138	1111	1000	836	720
